District,Local Government,Network,Investment ID,Investment Name, 2024-25 to 2027-28 total budget ($'000) ,Committed total budget ($'000),Australian Government contribution ($’000),Queensland Government contribution ($’000),Local Government/Other Contribution ($’000),Estimated expenditure to 30 June 2024 ($’000),2024-25 ($’000), 2025-26 ($’000),2025-26 to 2026-27 ($'000),2026-27 to 2027-28 ($'000),2026-27 ($’000),2027-28 ($’000),Beyond ($’000),Endnotes,Web Link,Map,Midpoint Latitude,Midpoint Longitude
Wide Bay/Burnett,Bundaberg Regional,State,8516,"Bundaberg - Bargara Road, Kalkie to Potters Road, develop active transport facility, planning",500000,1062018,0,1062018,0,562018,250000,250000,0,0,0,0,0,,,1,-24.832874,152.424946
Wide Bay/Burnett,Bundaberg Regional,State,1219374,"Bundaberg - Bargara Road, upgrade targeted sections",10000000,10000000,8000000,2000000,0,0,0,0,10000000,10000000,0,10000000,0,,,1,-24.849191,152.390832
Wide Bay/Burnett,Bundaberg Regional,State,761820,"Bundaberg - Port Road, Bundaberg - Bargara Road to Port of Bundaberg, planning",1650000,2613805,0,2613805,0,963805,250000,600000,800000,800000,800000,0,0,,,1,-24.793021,152.405108
Wide Bay/Burnett,Bundaberg Regional,State,2906247,"Isis Highway (Bundaberg - Childers), 2022 Disaster Recovery Funding Arrangements reconstruction works",2894571,3425740,2569306,856434,0,531169,1254149,1640422,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-25.023868,152.215209
Wide Bay/Burnett,Bundaberg Regional,State,3019323,"Isis Highway (Bundaberg - Childers), Kendalls Road - University Drive (Bundaberg), construct footpath",800000,1240000,620000,620000,0,440000,800000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-24.893824,152.316152
Wide Bay/Burnett,Bundaberg Regional,State,1776639,"Isis Highway (Bundaberg - Childers), various locations, improve safety",33887000,41942574,0,41942574,0,8055574,8000000,14000000,11887000,11887000,11887000,0,0,High Risk Roads Initiative,https://www.tmr.qld.gov.au/projects/isis-highway-bundaberg-childers-various-locations-improve-safety ,1,-25.038884,152.222694
Wide Bay/Burnett,Bundaberg Regional,State,3176283,"Walkers Point (Woodgate), upgrade boat ramp",2900000,3000000,0,3000000,0,100000,1400000,1500000,0,0,0,0,0,,,1,-25.171256,152.588726
Wide Bay/Burnett,Bundaberg Regional,Local,1542894,"Bundaberg to Gin Gin rail trail, Bundaberg to Koolboo Road, construct rail trail",8625069,19112010,0,9556005,9556005,930936,8625069,0,0,0,0,0,0,Queensland Government contribution subject to confirmation of Bundaberg Regional Council’s funding contribution.,,0,,
Wide Bay/Burnett,Bundaberg Regional,Local,3229791,"Wallaville Goondoon Road, rehabilitate and widen pavement",2969617,6850000,0,2969617,3880383,0,8971,1168015,1792631,1792631,976923,815708,0,,,1,-25.032542,152.034804
Wide Bay/Burnett,Fraser Coast Regional,National,371601,"Bruce Highway (Gympie - Maryborough), Tiaro Bypass, construct bypass",241986336,336000000,268800000,67200000,0,16012723,5600000,17000000,219386336,219386336,112189059,107197277,78000941,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",https://www.tmr.qld.gov.au/projects/bruce-highway-gympie-maryborough-tiaro-bypass-construct-four-lane-bypass ,1,-25.727536,152.583072
Wide Bay/Burnett,Fraser Coast Regional,State,3019326,"Booral Road (Urangan), Pulgul Creek, extend culvert for pedestrian walkway",2975000,3000000,1500000,1500000,0,25000,2975000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-25.301227,152.88916
Wide Bay/Burnett,Fraser Coast Regional,State,2182485,"Booral Road and Boundary Road (Urangan), upgrade intersection",24473760,27000000,0,26733901,266099,2526240,1905000,10500000,12068760,12068760,6668760,5400000,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",https://www.tmr.qld.gov.au/projects/booral-road-and-boundary-road-urangan-intersection-upgrade ,1,-25.304191,152.888072
Wide Bay/Burnett,Fraser Coast Regional,State,3033451,"Booral Road and Doolong South Road (Nikenbah), improve intersection",1162000,1162000,0,1162000,0,0,0,895000,267000,267000,267000,0,0,Safer Roads Sooner Program,,1,-25.344174,152.85163
Wide Bay/Burnett,Fraser Coast Regional,State,2274126,Fraser Coast integrated transport strategy planning,820000,1028000,0,890000,138000,208000,400000,420000,0,0,0,0,0,,,0,,
Wide Bay/Burnett,Fraser Coast Regional,State,3181439,"Gatakers Bay (Point Vernon), dredge access channel",1150000,1150000,0,1150000,0,0,0,150000,1000000,1000000,1000000,0,0,,,1,-25.245217,152.811973
Wide Bay/Burnett,Fraser Coast Regional,State,3243344,"Hervey Bay transport and mobility study, planning",400000,400000,0,400000,0,0,0,200000,200000,200000,200000,0,0,,,0,,
Wide Bay/Burnett,Fraser Coast Regional,State,3033455,"Maryborough - Hervey Bay Road and Cran Street (Tinana), signalise intersection and improve pedestrian facilities",1431000,1431000,0,1431000,0,0,75000,879000,477000,477000,477000,0,0,,,1,-25.545912,152.685007
Wide Bay/Burnett,Fraser Coast Regional,State,2006450,"Maryborough - Hervey Bay Road and Pialba - Burrum Heads Road, upgrade intersection",54567645,55353000,35280000,20073000,0,785355,8194521,24747624,21625500,21625500,20467500,1158000,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration. Funding splits under negotiation.",https://www.tmr.qld.gov.au/projects/maryborough-hervey-bay-road-and-pialba-burrum-heads-road-upgrade-intersection ,1,-25.289017,152.814124
Wide Bay/Burnett,Fraser Coast Regional,State,2298689,"Maryborough - Hervey Bay Road, Ibis Boulevard and Fairway Drive, upgrade intersection, business case",420000,700000,0,700000,0,280000,250000,170000,0,0,0,0,0,,,1,-25.287185,152.816496
Wide Bay/Burnett,Fraser Coast Regional,State,3019324,"Maryborough - Hervey Bay Road, upgrade various intersections and improve safety",9900000,10000000,5000000,5000000,0,100000,9900000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-25.379195,152.768651
Wide Bay/Burnett,Fraser Coast Regional,State,3019325,"Mungar Road (Tiaro), widen pavement",2950000,3000000,1500000,1500000,0,50000,2950000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-25.709552,152.55963
Wide Bay/Burnett,Fraser Coast Regional,State,3109731,"Owen Cox Street (Poona), upgrade boat ramp and dredge access channel",1800000,1850000,0,1850000,0,50000,800000,1000000,0,0,0,0,0,,,1,-25.722607,152.913515
Wide Bay/Burnett,Fraser Coast Regional,State,2225933,"Pialba - Burrum Heads Road, O'Regan Creek, upgrade existing floodway",27550000,28950000,0,28950000,0,1400000,800000,6000000,20750000,20750000,20000000,750000,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",,1,-25.27778,152.709281
Wide Bay/Burnett,Gympie Regional,National,686965,"Bruce Highway (Cooroy to Curra) Section D, construction",192608428,1162000000,929600000,232400000,0,969391572,110608428,82000000,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/bruce-highway-cooroy-to-curra/bruce-highway-cooroy-to-curra-section-d ,1,-26.221708,152.687365
Wide Bay/Burnett,Gympie Regional,State,2474942,"Burnett Highway (Goomeri - Gayndah), 2022 Disaster Recovery Funding Arrangements reconstruction works",1742667,3587843,2690883,896960,0,1845176,1230118,512549,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.159901,152.06306
Wide Bay/Burnett,Gympie Regional,State,2839142,"Burnett Highway (Goomeri - Gayndah), 2022 Disaster Recovery Funding Arrangements betterment works",3799112,3799112,1899556,1899556,0,0,3039290,759822,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-25.931052,151.88057
Wide Bay/Burnett,Gympie Regional,State,2839139,"Burnett Highway (Goomeri - Gayndah), 2022 Disaster Recovery Funding Arrangements reconstruction works",1369840,1369840,1027380,342460,0,0,1095872,273968,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-25.925924,151.872701
Wide Bay/Burnett,Gympie Regional,State,2613345,"Tin Can Bay Road and Bayside Road, construct roundabout",2636500,2802500,0,2802500,0,166000,2465000,171500,0,0,0,0,0,Safer Roads Sooner Program,,1,-25.943222,152.980307
Wide Bay/Burnett,Gympie Regional,State,3033453,"Wide Bay Highway (Gympie - Goomeri) and Bauple Woolooga Road, improve intersection",1033000,1033000,0,1033000,0,0,0,794500,238500,238500,238500,0,0,Safer Roads Sooner Program,,1,-26.074679,152.391677
Wide Bay/Burnett,Gympie Regional,State,2839178,"Wide Bay Highway (Gympie - Goomeri), 2022 Disaster Recovery Funding Arrangements reconstruction works",1019619,1019619,764714,254905,0,0,815695,203924,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.095678,152.333764
Wide Bay/Burnett,Gympie Regional,Local,1906220,"Copp Road, Pritchard Road and Smerdon Road, widen pavement and improve intersection",1141095,2338000,0,1141095,1196905,0,480899,660196,0,0,0,0,0,,,1,-26.20656,152.653795
Wide Bay/Burnett,Gympie Regional,Local,2746650,"Howe Road (Traveston), Six Mile Creek, replace timber bridge",940000,1250000,1000000,0,250000,60000,940000,0,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-26.318345,152.783559
Wide Bay/Burnett,Gympie Regional,Local,2746649,"Inglewood Road (Monkland), over the Mary Valley Railway, replace timber bridge",1224000,1620000,1296000,0,324000,72000,1224000,0,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-26.210556,152.679447
Wide Bay/Burnett,Gympie Regional,Local,3033062,"Neerdie Road (Gunalda), widen pavement and undertake safety upgrades",1664000,1664000,1664000,0,0,0,1664000,0,0,0,0,0,0,Australian Government Black Spot Program,,1,-25.984689,152.602047
Wide Bay/Burnett,North Burnett Regional,State,717532,"Burnett Highway (Eidsvold), construct off-road shared path",939432,1300000,0,1300000,0,360568,939432,0,0,0,0,0,0,,,1,-25.372216,151.125841
Wide Bay/Burnett,North Burnett Regional,State,2071785,"Cania Dam Road (Moonford), widen and seal shoulders",3690172,4500000,0,4500000,0,809828,3625000,65172,0,0,0,0,0,,,1,-24.740058,151.025431
Wide Bay/Burnett,North Burnett Regional,State,2891590,"Gayndah - Mount Perry Road, widen and seal",2953272,3967510,0,3967510,0,1014238,983708,984781,984783,984783,984783,0,0,Transport Infrastructure Development Scheme,,1,-25.358455,151.732009
Wide Bay/Burnett,North Burnett Regional,State,1646565,"Monto - Mount Perry Road, progressive sealing",2939385,8000000,0,8000000,0,5060615,2876385,63000,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/monto-mount-perry-road-progressive-sealing ,1,-25.210097,151.414202
Wide Bay/Burnett,North Burnett Regional,State,3019327,"Monto - Mount Perry Road (Stage 3), upgrade to sealed standard",21750000,27000000,13500000,13500000,0,5250000,10875000,10875000,0,0,0,0,0,Australian Government Road Safety Program,,1,-25.110037,151.2456
Wide Bay/Burnett,South Burnett Regional,State,1388289,"D'Aguilar Highway (Yarraman - Kingaroy), Alexander Lane to Bunya Highway, improve safety",2877219,23910000,0,23910000,0,21032781,382549,0,2494670,2494670,2494670,0,0,High Risk Roads Initiative,,1,-26.605778,151.906919
Wide Bay/Burnett,South Burnett Regional,State,845296,"D'Aguilar Highway (Yarraman - Kingaroy), Bushnell Road to Homley Road, strengthen and widen pavement",6697998,11500000,0,11500000,0,4802002,1697998,4500000,500000,500000,500000,0,0,,,1,-26.586353,151.88873
Wide Bay/Burnett,South Burnett Regional,State,2593233,"Maidenwell - Bunya Mountains Road (Section 1), upgrade unsealed road to sealed standard",3850000,6700000,0,6700000,0,2850000,3500000,350000,0,0,0,0,0,,,1,-26.837525,151.686755
Wide Bay/Burnett,South Burnett Regional,State,1912414,"Maidenwell - Bunya Mountains Road (Section 2), upgrade unsealed road to sealed standard",963005,1963750,0,1963750,0,1000745,963005,0,0,0,0,0,0,Transport Infrastructure Development Scheme,,1,-26.828473,151.674062
Wide Bay/Burnett,Various local governments,State,726153,"Maintenance of Road Safety Infrastructure, various locations",983589,2238803,0,2238803,0,1255214,983589,0,0,0,0,0,0,,,0,,
Wide Bay/Burnett,Other works,,,Construction Works,141361350,0,97414523,43946827,0,0,16028279,10312758,115020313,115020313,3090080,111930233,0,,,0,,
Wide Bay/Burnett,Other works,,,Corridor and Minor Safety Enhancements,38525229,0,20895995,17629234,0,0,6378624,5601617,26544988,26544988,2983535,23561453,0,,,0,,
Wide Bay/Burnett,Other works,,,"Corridor, Roadway and Structures Management",3418882,0,0,3418882,0,0,1157617,734732,1526533,1526533,750971,775562,0,,,0,,
Wide Bay/Burnett,Other works,,,Local Government Transport Development,22065689,0,4919141,17146548,0,0,9463027,4082143,8520519,8520519,3275944,5244575,0,,,0,,
Wide Bay/Burnett,Other works,,,Natural Disaster Operational,122599,0,0,122599,0,0,122599,0,0,0,0,0,0,,,0,,
Wide Bay/Burnett,Other works,,,Natural Disaster Rehabilitation and Replacement,35458796,0,26594102,8864694,0,0,16543658,18915138,0,0,0,0,0,,,0,,
Wide Bay/Burnett,Other works,,,Programmed Maintenance,78897048,0,6397684,72499364,0,0,21281336,18848119,38767593,38767593,19350627,19416966,0,,,0,,
Wide Bay/Burnett,Other works,,,Rehabilitation,89829405,0,4778529,85050876,0,0,32123679,18492204,39213522,39213522,18714807,20498715,0,,,0,,
Wide Bay/Burnett,Other works,,,Routine Maintenance,113736884,0,6751110,106985774,0,0,27495944,26985230,59255710,59255710,28427531,30828179,0,,,0,,
Wide Bay/Burnett,Other works,,,Traffic Management Enhancements,1947000,0,400000,1547000,0,0,917000,780000,250000,250000,250000,0,0,,,0,,
Wide Bay/Burnett,Other works,,,Traffic Operations,3307000,0,142000,3165000,0,0,3307000,0,0,0,0,0,0,,,0,,
Wide Bay/Burnett,Other works,,,Transport Planning,6523738,0,1491790,5031948,0,0,1959000,1350000,3214738,3214738,650000,2564738,0,,,0,,
Darling Downs,Goondiwindi Regional,National,2342858,"Gore Highway (Millmerran - Goondiwindi), Wyaga Creek, upgrade floodway",22926749,52400000,41920000,10480000,0,29473251,13577233,9349516,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/gore-highway-millmerran-goondiwindi-wyaga-creek-upgrade-floodway ,1,-28.281623,150.377123
Darling Downs,Goondiwindi Regional,National,2512903,"Leichhardt Highway (Miles - Goondiwindi), 2022 Disaster Recovery Funding Arrangements reconstruction works",5034360,6841365,5131024,1710341,0,1807005,4654321,380039,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.461181,150.295688
Darling Downs,Goondiwindi Regional,State,2857804,"Barwon Highway (Goondiwindi - Talwood), 2023 Disaster Recovery Funding Arrangements reconstruction works",582743,1382019,1036514,345505,0,799276,504516,78227,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.420829,149.904331
Darling Downs,Goondiwindi Regional,State,2867598,"Leichhardt Highway (Miles - Goondiwindi), 2023 Disaster Recovery Funding Arrangements reconstruction works",1330196,2088292,1566219,522073,0,758096,1211991,118205,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.1656,150.286752
Darling Downs,Goondiwindi Regional,State,2690925,"Yelarbon - Keetah Road (Stage 4), widen pavement",400000,1052664,0,1052664,0,652664,400000,0,0,0,0,0,0,Transport Infrastructure Development Scheme,,1,-28.633581,150.727888
Darling Downs,Lockyer Valley Regional,State,2646594,"Gatton - Clifton Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",980277,1062632,796974,265658,0,82355,906615,73662,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.679593,152.151781
Darling Downs,Lockyer Valley Regional,State,2632962,"Gatton - Clifton Road, Mount Whitestone, business case",430000,1030000,0,1030000,0,600000,280000,150000,0,0,0,0,0,,,1,-27.689504,152.144138
Darling Downs,Lockyer Valley Regional,State,2614872,"Gatton - Helidon Road (Spencer Street) and William Street intersection, improve safety",1998000,1998000,0,1998000,0,0,199000,1228000,571000,571000,571000,0,0,,,1,-27.550257,152.31461
